Episode,Date,Artist,Song
654,January 1,IU,"""You & I"""
655,January 8,Trouble Maker,"""Trouble Maker"""
656,January 15,T-ara,"""Lovey-Dovey"""
656 Part 1,January 22,T-ara,"""Lovey-Dovey"""
657,January 29,T-ara,"""Lovey-Dovey"""
658,February 5,Teen Top,"""Going Crazy"""
659,February 12,Seven,"""When I Can't Sing"""
660,February 19,Seven,"""When I Can't Sing"""
661,February 26,F.T. Island,"""Severely"""
662,March 4,Miss A,"""Touch"""
663,March 11,Big Bang,"""Blue"""
664,March 18,Big Bang,"""Blue"""
665,March 25,Big Bang,"""Blue"""
666,April 1,Shinee,"""Sherlock (Clue + Note)"""
667,April 8,Shinee,"""Sherlock (Clue + Note)"""
668,April 15,Shinee,"""Sherlock (Clue + Note)"""
669,April 22,CNBLUE,"""Hey You"""
670,April 29,Sistar,"""Alone"""
671,May 6,Sistar,"""Alone"""
672,May 13,Girls' Generation-TTS,"""Twinkle"""
673,May 20,Girls' Generation-TTS,"""Twinkle"""
674,May 27,Girls' Generation-TTS,"""Twinkle"""
675,June 3,Infinite,"""The Chaser"""
676,June 10,Infinite,"""The Chaser"""
677,June 17,Wonder Girls,"""Like This"""
678,June 24,Wonder Girls,"""Like This"""
679,July 1,f(x),"""Electric Shock"""
680,July 8,f(x),"""Electric Shock"""
681,July 15,Sistar,"""Loving U"""
682,July 22,Super Junior,"""Sexy, Free & Single"""
683,July 29,Super Junior,"""Sexy, Free & Single"""
684,August 5,Sistar,"""Loving U"""
685,August 12,Beast,"""Beautiful Night"""
686,August 19,Psy,"""Gangnam Style"""
687,August 26,Psy,"""Gangnam Style"""
688,September 2,Psy,"""Gangnam Style"""
689,September 9,Kara,"""Pandora"""
690,September 16,Psy,"""Gangnam Style"""
691,September 23,Psy,"""Gangnam Style"""
692,September 30,Psy,"""Gangnam Style"""
693,October 7,TVXQ,"""Catch Me"""
694,October 14,TVXQ,"""Catch Me"""
—,October 21,Gain,"""Bloom"""
—,October 28,K.Will,"""Please, Don't..."""
695,November 4,HyunA,"""Ice Cream"""
696,November 11,Miss A,"""I Don't Need A Man"""
697,November 18,Lee Hi,"""1,2,3,4"""
698,November 24,Ailee,"""I Will Show You"""
699,December 2,B1A4,"""Tried To Walk"""
700,December 9,Lee Seung-gi,"""Return"""
701,December 16,Yang Yo-seob,"""Caffeine"""
702,December 23,Yang Yo-seob,"""Caffeine"""
703,December 30,Yang Yo-seob,"""Caffeine"""
713,March 17,Shinee,"""Dream Girl""","9,224",
714,March 24,Lee Hi,"""It's Over""","9,126",
715,March 31,Infinite,"""Man In Love""","7,893",
716,April 7,Infinite,"""Man In Love""","8,291",
717,April 14,Lee Hi,"""Rose""","9,142",
718,April 21,Psy,"""Gentleman""","9,712",
719,April 28,Psy,"""Gentleman""","9,751",
720,May 5,Psy,"""Gentleman""","9,354",
721,May 12,Chungju World Rowing Championship Special,Chungju World Rowing Championship Special,Chungju World Rowing Championship Special,Chungju World Rowing Championship Special
722,May 19,4Minute,"""What's Your Name?""","8,419",
722 Part 1,May 26,4Minute,"""What's Your Name?""","10,230",
723,June 2,Lee Hyori,"""Bad Girls""","10,308",
724,June 9,CL,"""The Baddest Female""","9,222",
725,June 16,Exo,"""Wolf""","7,876",
726,June 23,Sistar,"""Give It To Me""","10,503",
727,June 30,Sistar,"""Give It To Me""","10,554",
—,July 7,Girl's Day,"""Female President""","8,887",
728,July 14,First Half of the Year Special,First Half of the Year Special,First Half of the Year Special,First Half of the Year Special
729,July 21,2NE1,"""Falling In Love""","10,260",
730,July 28,Infinite,"Destiny""","9,771",
731,August 4,Beast,"""Shadow""","9,149",
732,August 11,f(x),"""Rum Pum Pum Pum""","9,674",
733,August 18,Exo,"""Growl""","10,628",
734,August 25,Exo,"""Growl""","9,518",
735,September 1,Exo,"""Growl""","9,313",
736,September 8,Teen Top,"""Rocking""","8,075",
737,September 15,G-Dragon,"""Coup D'état""","7,437",
738,September 22,G-Dragon,"""Crooked""","8,230",
739,September 29,G-Dragon,"""Crooked""","8,123",
740,October 6,Busker Busker,"""Love, At First""","8,163",
741,October 13,Block B,"""Very Good""","8,069",
742,October 20,IU,"""The Red Shoes""","10,521",
743,October 27,Shinee,"""Everybody""","10,735",
744,November 3,K.Will,"""You Don't Know Love""","9,609",
745,November 10,Trouble Maker,"""Now""","11,000",
746,November 17,Miss A,"""Hush""","8,559",
747,November 24,Taeyang,"""Ringa Linga""","8,023",
748,December 1,2NE1,"""Missing You""","9,858",
749,December 8,2NE1,"""Missing You""","9,773",
750,December 15,Exo,"""Miracles in December""","9,242",
751,December 22,Exo,"""Miracles in December""","10,302",
—,December 29,IU,"""Friday""","7,907",
752,January 5,IU,"""Friday""","8,228",
753,January 12,Girl's Day,"""Something""","8,955",
754,January 19,TVXQ,"""Something""","9,708",
755,January 26,B1A4,"""Lonely""","9,294",
756,February 2,Girl's Day,"""Something""","8,107",
757,February 9,AOA,"""Miniskirt""","8,661",
758,February 16,B.A.P.,"""1004 (Angel)""","7,584",
759,February 23,Soyou & Junggigo,"""Some""","8,020",
760,March 2,Sunmi,"""Full Moon""","8,421",
761,March 9,Girls' Generation,"""Mr. Mr.""","10,974",
762,March 16,2NE1,"""Come Back Home""","9,398",
763,March 23,Girls' Generation,"""Mr. Mr.""","9,489",
764,March 30,4Minute,"""Whatcha Doin' Today""","8,928",
765,April 6,Park Hyo-shin,"""Wild Flower""","7,754",
766,April 13,Apink,"""Mr. Chu""","10,578",
—,April 20,AKMU,"""200%""","9,556",
—,April 27,AKMU,"""200%""","9,181",
—,May 4,AKMU,"""200%""","9,662",
—,May 11,High4 & IU,"""Not Spring, Love, or Cherry Blossoms""","9,500",
767,May 18,Exo-K,"""Overdose""","10,258",
768,May 25,Exo-K,"""Overdose""","9,130",
769,June 1,Exo-K,"""Overdose""","7,080",
770,June 8,VIXX,"""Eternity""","6,456",
—,June 15,Taeyang,"""Eyes, Nose, Lips""","9,665",
771,June 22,Taeyang,"""Eyes, Nose, Lips""","9,199",
772,June 29,Beast,"""Good Luck""","11,000",
773,July 6,Taeyang,"""Eyes, Nose, Lips""","10,037",
774,July 13,Beast,"""Good Luck""","8,037",
775,July 20,f(x),"""Red Light""","9,589",
776,July 27,Girl's Day,"""Darling""","9,817",
777,August 3,Sistar,"""Touch My Body""","9,576",
778,August 10,Sistar,"""Touch My Body""","8,933",
779,August 17,Sistar,"""Touch My Body""","9,585",
780,August 24,Winner,"""Empty""","10,695",
781,August 31,Winner,"""Empty""","7,398",
782,September 7,Sistar,"""I Swear""","7,754",
783,September 14,Super Junior,"""Mamacita""","8,208",
784,September 21,Super Junior,"""Mamacita""","7,881",
—,September 28,Girls' Generation-TTS,"""Holler""","9,687",
785,October 5,Ailee,"""Don't Touch Me""","9,152",
786,October 12,Kim Dong-ryul,"""How I Am""","9,682",
787,October 19,IU,"""Sogyeokdong""","8,732",
788,October 26,VIXX,"""Error""","8,756",
789,November 2,Beast,"""12:30""","10,206",
790,November 9,Beast,"""12:30""","10,277",
791,November 16,MC Mong,"""Miss Me or Diss Me""","9,569",
792,November 23,Hi Suhyun,"""I'm Different""","8,786",
793,November 30,GD X Taeyang,"""Good Boy""","7,667",
794,December 7,Apink,"""Luv""","8,710",
795,December 14,Apink,"""Luv""","7,915",
—,December 21,2014 SBS Gayo Daejun,2014 SBS Gayo Daejun,2014 SBS Gayo Daejun,2014 SBS Gayo Daejun
796,December 28,Apink,"""Luv""","8,382",
797,January 4,GD X Taeyang,"""Good Boy""","8,136",
798,January 11,EXID,"""Up & Down""","8,346",
799,January 18,Jonghyun,"""Déjà-Boo""","8,218",
800,January 25,Mad Clown,"""Fire""","9,286",
801,February 1,Jung Yong-hwa,"""One Fine Day""","8,106",
802,February 8,Infinite H,"""Pretty""","9,408",
803,February 15,Naul,"""You from the Same Time""","8,525",
—,February 22,4Minute,"""Crazy""","7,526",
804,March 1,4Minute,"""Crazy""","7,975",
805,March 8,VIXX,"""Love Equation""","9,632",
806,March 15,Shinhwa,"""Sniper""","7,708",
807,March 22,Shinhwa,"""Sniper""","7,902",
808,March 29,Red Velvet,"""Ice Cream Cake""","8,504",
809,April 5,Exo,"""Call Me Baby""","10,000",
810,April 12,Exo,"""Call Me Baby""","9,717",
811,April 19,Exo,"""Call Me Baby""","10,051",
812,April 26,EXID,"""Ah Yeah""","9,387",
813,May 3,EXID,"""Ah Yeah""","9,333",
814,May 10,Big Bang,"""Loser""","10,909",
815,May 17,Big Bang,"""Loser""","10,594",
816,May 24,Big Bang,"""Loser""","10,127",
817,May 31,Shinee,"""View""","9,741",
818,June 7,Shinee,"""View""","10,850",
819,June 14,Big Bang,"""Bang Bang Bang""","9,029",
820,June 21,Exo,"""Love Me Right""","9,308",
821,June 28,Big Bang,"""Bang Bang Bang""","9,981",
822,July 5,Sistar,"""Shake It""","9,583",
823,July 12,Big Bang,"""Sober""","9,189",
824,July 19,Girls' Generation,"""Party""","10,229",
825,July 26,Girls' Generation,"""Party""","8,481",
826,August 2,Beast,"""Gotta Go to Work""","7,470",
827,August 9,Beast,"""YeY""","7,154",
828,August 16,Big Bang,"""Let's Not Fall in Love""","9,000",
829,August 23,Big Bang,"""Let's Not Fall in Love""","11,000",
