Episode,Date,Artist,Song,Points,Ref.
"1,029",January 5,Red Velvet,"""Psycho""","10,028",
"1,030",January 12,Red Velvet,"""Psycho""","8,992",
"1,031",January 19,Red Velvet,"""Psycho""","7,644",
—,January 26,Zico,"""Any Song""","7,038",
"1,032",February 2,Zico,"""Any Song""","9,033",
"1,033",February 9,Zico,"""Any Song""","8,464",
"1,034",February 16,GFriend,"""Crossroads""","5,999",
"1,035",February 23,Noel,"""Late Night""","5,864",
"1,036",March 1,BTS,"""On""","7,393",
"1,037",March 8,BTS,"""On""","10,627",
"1,038",March 15,BTS,"""On""","9,682",
"1,039",March 22,Itzy,"""Wannabe""","10,108",
"1,040",March 29,Itzy,"""Wannabe""","9,315",
"1,041",April 5,Itzy,"""Wannabe""","7,752",
"1,042",April 12,Suho,"""Let's Love""","5,707",
"1,043",April 19,(G)I-dle,"""Oh My God""","8,332",
"1,044",April 26,Apink,"""Dumhdurum""","9,103",
"1,045",May 3,Apink,"""Dumhdurum""","6,553",
"1,046",May 10,Oh My Girl,"""Nonstop""","9,737",
"1,047",May 17,IU feat. Suga,"""Eight""","8,853",
"1,048",May 24,IU feat. Suga,"""Eight""","8,834",
"1,049",May 31,IU feat. Suga,"""Eight""","7,588",
"1,050",June 7,Baekhyun,"""Candy""","7,767",
"1,051",June 14,Twice,"""More & More""","10,558",
"1,052",June 21,Twice,"""More & More""","9,309",
"1,053",June 28,Iz*One,"""Secret Story of the Swan""","6,911",
"1,054",July 5,Blackpink,"""How You Like That""","6,027",
"1,055",July 12,Blackpink,"""How You Like That""","8,973",
"1,056",July 19,Blackpink,"""How You Like That""","8,929",
"1,057",July 26,Hwasa,"""María""","6,936",
"1,058",August 2,Hwasa,"""María""","7,889",
"1,059",August 9,Hwasa,"""María""","8,045",
"1,060",August 16,(G)I-dle,"""Dumdi Dumdi""","7,143",
"1,061",August 23,(G)I-dle,"""Dumdi Dumdi""","7,007",
"1,062",August 30,BTS,"""Dynamite""","6,397",
"1,063",September 6,BTS,"""Dynamite""","8,935",
"1,064",September 13,BTS,"""Dynamite""","8,626",
"1,065",September 20,Blackpink and Selena Gomez,"""Ice Cream""","6,484",
"1,066",September 27,Blackpink and Selena Gomez,"""Ice Cream""","6,428",
—,October 4,Blackpink and Selena Gomez,"""Ice Cream""","6,267",
"1,067",October 11,Blackpink,"""Lovesick Girls""","6,376",
"1,068",October 18,Blackpink,"""Lovesick Girls""","10,239",
"1,069",October 25,Blackpink,"""Lovesick Girls""","7,532",
—,November 1,Seventeen,"""Home;Run""","6,889",
"1,070",November 8,Twice,"""I Can't Stop Me""","7,460",
"1,071",November 15,Twice,"""I Can't Stop Me""","6,965",
"1,072",November 22,Taemin,"""Idea""","5,911",
"1,073",November 29,BTS,"""Life Goes On""","6,758",
"1,074",December 6,BTS,"""Life Goes On""","10,234",
"1,075",December 13,BTS,"""Life Goes On""","9,196",
—,December 20,Iz*One,"""Panorama""","6,907",
—,December 27,Taeyeon,"""What Do I Call You""","5,744",
"""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week."
