Episode,Date,Artist,Song,Points,Ref.
—,January 2,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
"1121",January 9,Ive,"""Eleven""","8,533",
"1122",January 16,Ive,"""Eleven""","6,583",
"1123",January 23,Ive,"""Eleven""","5,927",
"1124",January 30,Got the Beat,"""Step Back""","5,612",
—,February 6,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,February 13,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
"1125",February 20,Got the Beat,"""Step Back""","7,224",
"1126",February 27,Taeyeon,"""INVU""","7,041",
"1127",March 6,Taeyeon,"""INVU""","6,783",
"1128",March 13,Taeyeon,"""INVU""","7,083",
"1129",March 20,Kim Min-seok,"""Drunken Confession""","5,514",
"1130",March 27,(G)I-dle,"""Tomboy""","8,037",
"1131",April 3,(G)I-dle,"""Tomboy""","9,648",
"1132",April 10,NCT Dream,"""Glitch Mode""","6,845",
"1133",April 17,Big Bang,"""Still Life""","8,673",
"1134",April 24,Big Bang,"""Still Life""","9,394",
"1135",May 1,Big Bang,"""Still Life""","8,681",
"1136",May 8,Ive,"""Love Dive""","6,726",
"1137",May 15,Psy,"""That That""","9,402",
"1138",May 22,Psy,"""That That""","9,108",
"1139",May 29,Psy,"""That That""","7,620",
"1140",June 5,(G)I-dle,"""Tomboy""","6,314",
"1141",June 12,NCT Dream,"""Beatbox""","7,292",
"1142",June 19,BTS,"""Yet to Come""","7,007",
"1143",June 26,BTS,"""Yet to Come""","9,479",
"1144",July 3,Ive,"""Love Dive""","6,126",
"1145",July 10,Nayeon,"""Pop!""","6,922",
"1146",July 17,Ive,"""Love Dive""","5,955",
"1147",July 24,Nayeon,"""Pop!""","7,103",
"1148",July 31,Seventeen,"""_World""","7,092",
"1149",August 7,Nayeon,"""Pop!""","7,201",
"1150",August 14,Itzy,"""Sneakers""","7,353",
"1151",August 21,NewJeans,"""Attention""","8,273",
"1152",August 28,NewJeans,"""Attention""","6,300",
"1153",September 4,Blackpink,"""Pink Venom""","9,292",
—,September 11,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
"1154",September 18,Blackpink,"""Pink Venom""","7,977",
"1155",September 25,Blackpink,"""Pink Venom""","7,129",
"1156",October 2,Blackpink,"""Shut Down""","9,077",
"1157",October 9,Blackpink,"""Shut Down""","8,991",
"1158",October 16,Blackpink,"""Shut Down""","7,641",
"1159",October 23,Ive,"""After Like""","7,038",
—,October 30,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
"1160",November 6,(G)I-dle,"""Nxde""","9,409",
"1161",November 13,(G)I-dle,"""Nxde""","9,164",
"1162",November 20,(G)I-dle,"""Nxde""","6,624",
