Episode,Date,Artist,Song,Points,Ref.
913,January 5,Exo,"""Universe""","10,371",
914,January 12,Exo,"""Universe""","6,324",
915,January 19,Infinite,"""Tell Me""","5,393",
916,January 26,JBJ,"""My Flower""","5,531",
917,February 2,Jonghyun,"""Shinin'""","5,560",
—,February 9,Red Velvet,"""Bad Boy""","5,962",
—,February 16,Seventeen,"""Thanks""","7,540",
918,February 23,Momoland,"""Bboom Bboom""","7,633",
919,March 2,iKon,"""Love Scenario""","6,056",
920,March 9,Kim Sung-kyu,"""True Love""","5,831",
—,March 16,Mamamoo,"""Starry Night""","6,015",
921,March 23,Got7,"""Look""","9,927",
922,March 30,Wanna One,"""Boomerang""","10,298",
923,April 6,Wanna One,"""Boomerang""","7,103",
924,April 13,Wanna One,"""Boomerang""","6,151",
925,April 20,Twice,"""What Is Love?""","9,335",
926,April 27,Twice,"""What Is Love?""","8,367",
927,May 4,Hwang Chi-yeul,"""Star, You (The Only Star)""","6,552",
928,May 11,GFriend,"""Time for the Moon Night""","8,690",
929,May 18,GFriend,"""Time for the Moon Night""","6,154",
930,May 25,BTS,"""Fake Love""","10,493",
931,June 1,BTS,"""Fake Love""","15,019",
932,June 8,BTS,"""Fake Love""","10,647",
933,June 15,Wanna One,"""Light""","11,260",
934,June 22,Wanna One,"""Light""","7,528",
935,June 29,Blackpink,"""Ddu-Du Ddu-Du""","10,095",
936,July 6,NU'EST W,"""Dejavu""","10,151",
937,July 13,Apink,"""I'm So Sick""","5,930",
938,July 20,Twice,"""Dance the Night Away""","11,347",
939,July 27,Seventeen,"""Oh My!""","11,345",
940,August 3,Twice,"""Dance the Night Away""","5,338",
941,August 10,Shaun,"""Way Back Home""","4,729",
942,August 17,Red Velvet,"""Power Up""","8,882",
943,August 24,Red Velvet,"""Power Up""","6,536",
944,August 31,BTS,"""Idol""","9,567",
945,September 7,BTS,"""Idol""","11,949",
946,September 14,BTS,"""Idol""","5,275",
947,September 21,Sunmi,"""Siren""","5,433",
948,September 28,Got7,"""Lullaby""","9,751",
949,October 5,Got7,"""Lullaby""","5,323",
950,October 12,iKon,"""Goodbye Road""","5,239",
951,October 19,IU,"""Bbibbi""","4,338",
952,October 26,NCT 127,"""Regular""","6,585",
953,November 2,Monsta X,"""Shoot Out""","7,067",
954,November 9,Exo,"""Tempo""","8,561",
955,November 16,Exo,"""Tempo""","9,417",
956,November 23,BtoB,"""Beautiful Pain""","6,680",
957,November 30,Wanna One,"""Spring Breeze""","11,509",
958,December 7,NU'EST W,"""Help Me""","6,686",
959,December 14,Got7,"""Miracle""","4,679",
960,December 21,Exo,"""Love Shot""","7,267",
—,December 28,Exo,"""Love Shot""","7,742",
