Episode,Date,Artist,Song,Points,Ref.
"1102",January 7,NCT U,"""Universe""","5,930",
"1103",January 14,Kep1er,"""Wa Da Da""","3,678",
"1104",January 21,Enhypen,"""Blessed-Cursed""","8,377",
"1105",January 28,IU,"""Winter Sleep""","2,949",
"1106",February 4,Pentagon,"""Feelin' Like""","3,426",
—,February 11,Ive,"""Eleven""","3,058",
—,February 18,Ive,"""Eleven""","2,566",
"1107",February 25,Treasure,"""Jikjin""","4,520",
"1108",March 4,STAYC,"""Run2U""","6,821",
"1109",March 11,STAYC,"""Run2U""","4,719",
"1110",March 18,Kim Woo Seok,"""Switch""","6,016",
"1111",March 25,Stray Kids,"""Maniac""","10,596",
"1112",April 1,Red Velvet,"""Feel My Rhythm""","8,416",
"1113",April 8,NCT Dream,"""Giltch Mode""","10,718",
"1114",April 15,Ive,"""Love Dive""","12,095",
"1115",April 22,Ive,"""Love Dive""","7,324",
"1116",April 29,Ive,"""Love Dive""","6,959",
"1117",May 6,Monsta X,"""Love""","8,499",
"1118",May 13,Le Sserafim,"""Fearless""","7,881",
"1119",May 20,TXT,"""Good Boy Gone Bad""","12,610",
"1120",May 27,Astro,"""Candy Sugar Pop""","6,561",
"1121",June 3,Seventeen,"""Hot""","13,816",
"1122",June 10,NCT Dream,"""Beatbox""","11,069",
"1123",June 17,BTS,"""Yet to Come""","6,692",
"1124",June 24,BTS,"""Yet to Come""","5,573",
"1125",July 1,Kep1er,"""Up!""","7,268",
"1126",July 8,Fromis 9,"""Stay This Way""","8,378",
"1127",July 15,Enhypen,"""Future Perfect (Pass the MIC)""","8,577",
"1128",July 22,Itzy,"""Sneakers""","10,427",
"1129",July 29,Seventeen,"""_World""","10,353",
"1130",August 5,Ateez,"""Guerrilla""","8,474",
"1131",August 12,Ateez,"""Guerrilla""","6,169",
"1132",August 19,NewJeans,"""Attention""","11150",
"1133",August 26,The Boyz,"""Whisper""","11,097",
"1134",September 2,Ive,"""After Like""","12,174",
—,September 9,Ive,"""After Like""","11,406",
"1135",September 16,Oneus,"""Same Scent""","8,115",
"1136",September 23,Ive,"""After Like""","7,502",
"1137",September 30,NCT 127,"""2 Baddies""","9,309",
"1138",October 7,Ive,"""After Like""","6,966",
"1139",October 14,Stray Kids,"""Case 143""","11168",
"1140",October 21,Stray Kids,"""Case 143""","8,113",
"1141",October 28,(G)I-dle,"""Nxde""","12,541",
—,November 4,Le Sserafim,"""Antifragile""","8,786",
—,November 11,Le Sserafim,"""Antifragile""","6,137",
"1142",November 18,Highlight,"""Alone""","7,618",
