Date,Artist,Song,Points
January 4,IU,"""Friday""","7,802"
January 11,Girl's Day,"""Something""","6,748"
January 18,TVXQ,"""Something""","7,753"
January 25,B1A4,"""Lonely""","7,311"
February 1,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart
February 8,B1A4,"""Lonely""","7,162"
February 15,B.A.P,"""1004 (Angel)""","8,575"
February 22,Soyou & Junggigo,"""Some""","7,158"
March 1,Soyou & Junggigo,"""Some""","7,259"
March 8,Music Core 400th Episode Special,Music Core 400th Episode Special,Music Core 400th Episode Special
March 8,TVXQ,"""Spellbound""","9,050"
March 15,Girls' Generation,"""Mr.Mr.""","8,303"
March 22,Girls' Generation,"""Mr.Mr.""","7,537"
March 29,No Chart,No Chart,No Chart
April 5,Park Hyo-shin,"""Wild Flower""","7,576"
April 12,Apink,"""Mr. Chu""","9,447"
April 19,AKMU,"""200%""","7,446"
April 26,AKMU,"""200%""","7,965"
May 3,AKMU,"""200%""","8,490"
May 10,AKMU,"""200%""","8,754"
May 17,Exo-K,"""Overdose""","9,257"
May 24,Exo-K,"""Overdose""","7,633"
May 31,Fly to the Sky,"""You You You""","6,784"
June 7,Gary & Jungin,"""Your Scent""","6,201"
June 14,Taeyang,"""Eyes, Nose, Lips""","7,518"
June 21,Beast,"""No More""","8,330"
June 28,Beast,"""Good Luck""","10,000"
July 5,Beast,"""Good Luck""","7,777"
July 12,Beast,"""Good Luck""","7,274"
July 19,f(x),"""Red Light""","9,074"
July 26,Girl's Day,"""Darling""","7,344"
August 2,Infinite,"""Back""","7,154"
August 9,Sistar,"""Touch My Body""","9,151"
August 16,Sistar,"""Touch My Body""","8,360"
August 23,Block B,"""H.E.R""","8,239"
August 30,Taemin,"""Danger""","7,368"
September 6,Sistar,"""I Swear""","6,532"
September 13,Super Junior,"""Mamacita""","6,993"
September 20,Super Junior,"""Mamacita""","6,035"
September 27,No Chart,No Chart,No Chart
October 4,No Chart,No Chart,No Chart
October 11,Girls' Generation-TTS,"""Holler""","8,220"
October 18,Roy Kim,"""Home""","8,527"
October 25,No Chart,No Chart,No Chart
November 1,Beast,"""12:30""","9,197"
November 8,Beast,"""12:30""","8,555"
November 15,MC Mong,"""Miss Me Or Diss Me""","7,353"
November 22,Kyuhyun,"""At Gwanghwamun""","7,455"
November 29,Toy,"""Three of Us""","6,832"
December 6,Apink,"""Luv""","9,237"
December 13,Apink,"""Luv""","7,822"
December 20,Apink,"""Luv""","7,185"
December 27,No Chart,No Chart,No Chart
