Ep.,Date,Artist,Song,Points
573,January 6,Exo,"""Universe""","9,031"
574,January 13,Twice,"""Heart Shaker""","7,007"
575,January 20,Infinite,"""Tell Me""","6,494"
576,January 27,Sunmi,"""Heroine""","6,010"
577,February 3,Jonghyun,"""Shinin'""","7,975"
—,February 10
—,February 17
578,February 24,iKon,"""Love Scenario""","8,620"
579,March 3,iKon,"""Love Scenario""","8,551"
580,March 10,iKon,"""Love Scenario""","7,929"
581,March 17,Wanna One,"""I Promise You (I.P.U.)""","7,619"
—,March 24
582,March 31,Wanna One,"""Boomerang""","9,289"
583,April 7,Wanna One,"""Boomerang""","6,425"
584,April 14,Winner,"""Everyday""","9,112"
585,April 21,Twice,"""What Is Love?""","8,029"
586,April 28,Twice,"""What Is Love?""","8,934"
—,May 5
587,May 12,GFriend,"""Time for the Moon Night""","8,842"
588,May 19,GFriend,"""Time for the Moon Night""","7,872"
589,May 26,BTS,"""Fake Love""","8,919"
590,June 2,BTS,"""Fake Love""","10,000"
591,June 9,BTS,"""Fake Love""","8,056"
592,June 16,Wanna One,"""Light""","8,025"
593,June 23,Blackpink,"""Ddu-Du Ddu-Du""","6,071"
594,June 30,Blackpink,"""Ddu-Du Ddu-Du""","8,174"
595,July 7,Blackpink,"""Ddu-Du Ddu-Du""","7,273"
596,July 14,Blackpink,"""Ddu-Du Ddu-Du""","7,367"
597,July 21,Twice,"""Dance the Night Away""","9,792"
598,July 28
599,August 4,Twice,"""Dance the Night Away""","7,440"
600,August 11,Twice,"""Dance the Night Away""","6,575"
601,August 18,Red Velvet,"""Power Up""","9,387"
—,August 25
—,September 1
602,September 8
—,September 15
603,September 22,Sunmi,"""Siren""","6,513"
604,September 29,Got7,"""Lullaby""","6,123"
605,October 6,Im Chang-jung,"""There Has Never Been a Day I Haven't Loved You""","5,840"
606,October 13,iKon,"""Goodbye Road""","8,577"
607,October 20,IU,"""Bbibbi""","8,067"
608,October 27,IU,"""Bbibbi""","8,264"
609,November 3,IU,"""Bbibbi""","7,729"
—,November 10
610,November 17
—,November 24
611,December 1,Wanna One,"""Spring Breeze""","8,123"
612,December 8,Mino,"""Fiancé""","6,961"
613,December 15,Mino,"""Fiancé""","7,302"
614,December 22,Exo,"""Love Shot""","6,762"
615,December 29
