Episode,Date,Artist,Song,Points,Ref.
616,05-Jan,Winner,"""Millions""","6,961",[1]
617,12-Jan,Chungha,"""Gotta Go""","7,020",[2]
618,19-Jan,Chungha,"""Gotta Go""","6,795",[3]
619,26-Jan,GFriend,"""Sunrise""","6,698",[4]
620,02-Feb,Seventeen,"""Home""","6,874",[5]
Ñ,09-Feb,"No Show, No chart, winners were not announced",,,[6]
621,16-Feb,Chungha,"""Gotta Go""","5,668",[7]
622,23-Feb,Itzy,"""Dalla Dalla""","7,164",[8]
623,02-Mar,Hwasa,"""Twit""","7,344",[9]
624,09-Mar,Itzy,"""Dalla Dalla""","6,267",[10]
625,16-Mar,Hwasa,"""Twit""","5,804",[11]
Ñ,23-Mar,"No Show, No chart, winners were not announced",,,[12]
626,30-Mar,Mamamoo,"""Gogobebe""","7,444",[13]
627,06-Apr,Taeyeon,"""Four Seasons""","7,372",[14]
628,13-Apr,Chen,"""Beautiful Goodbye""","6,732",[15]
629,20-Apr,BTS,"""Boy with Luv""","6,743",[16]
630,27-Apr,,,"10,000",
Ñ,04-May,"No Show, No chart, winners were not announced",,,[17]
631,11-May,BTS,"""Boy with Luv""","7,967",[18]
632,18-May,BTS,"""Boy with Luv""","8,278",[19]
633,25-May,BTS,"""Boy with Luv""","8,830",[20]
634,01-Jun,BTS,"""Boy with Luv""","8,247",[21]
635,08-Jun,BTS,"""Boy with Luv""","7,218",[22]
636,15-Jun,BTS,"""Boy with Luv""","6,902",[23]
637,22-Jun,BTS,"""Boy with Luv""","6,080",[24]
638,29-Jun,Red Velvet,"""Zimzalabim""","6,245",[25]
639,06-Jul,Chungha,"""Snapping""","7,864",[26]
640,13-Jul,GFriend,"""Fever""","6,463",[27]
641,20-Jul,Baekhyun,"""UN Village""","6,773",[28]
642,27-Jul,"No chart, winners were not announced",,,[29]
643,03-Aug,"No chart, winners were not announced",,,[30]
644,10-Aug,Itzy,"""Icy""","7,412",[31]
645,17-Aug,Itzy,"""Icy""","6,309",[32]
646,24-Aug,Itzy,"""Icy""","7,175",
647,31-Aug,Red Velvet,"""Umpah Umpah""","8,033",
Ñ,07-Sep,"No Show, No chart, winners were not announced",,,
648[a],14-Sep,"No chart, winners were not announced",,,
649,21-Sep,Bolbbalgan4,"""Workaholic""","7,175",
650,28-Sep,Bolbbalgan4,"""Workaholic""","6,656",
651[b],12-Oct,"No chart, winners were not announced",,,
652,19-Oct,,,,
653,26-Oct,AKMU,"""How Can I Love the Heartbreak, You're the One I Love""","8,390",
654,02-Nov,NU'EST,"""Love Me""","7,670",
655,09-Nov,Taeyeon,"""Spark""","9,740",
656,16-Nov,IU,"""Love Poem""","8,830",
657,23-Nov,IU,"""Love Poem""","7,194",
Ñ,30-Nov,"No Show, No chart, winners were not announced",,,
658,07-Dec,Exo,"""Obsession""","8,194",
659,14-Dec,Exo,"""Obsession""","7,549",
660,21-Dec,IU,"""Blueming""","7,312",
661,28-Dec,"No chart, winners were not announced",,,
