Episode,Date,Artist,Song,Points,Ref.
662,January 4,Red Velvet,"""Psycho""","10,895",
663,January 11,Red Velvet,"""Psycho""","9,398",
664,January 18,Red Velvet,"""Psycho""","8,047",
—,January 25,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
665,February 1,Zico,"""Any Song""","8,267",
666,February 8,Zico,"""Any Song""","7,630",
667,February 15,Zico,"""Any Song""","6,900",
668,February 22,Zico,"""Any Song""","7,001",
669,February 29,BTS,"""On""","8,288",
670,March 7,BTS,"""On""","10,518",
671,March 14,BTS,"""On""","8,038",
672,March 21,BTS,"""On""","8,516",
673,March 28,BTS,"""On""","8,909",
674,April 4,Kang Daniel,"""2U""","9,142",
675,April 11,Suho,"""Let's Love""","9,861",
676,April 18,(G)I-dle,"""Oh My God""","8,788",
677,April 25,Apink,"""Dumhdurum""","10,780",
678,May 2,Apink,"""Dumhdurum""","10,147",
679,May 9,Oh My Girl,"""Nonstop""","9,433",
—,May 16,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
680,May 23,NU'EST,"""I’m in Trouble""","9,166",
681,May 30,NCT 127,"""Punch""","9,374",
—,June 6,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
682,June 13,Twice,"""More & More""","10,871",
683,June 20,Twice,"""More & More""","9,448",
684,June 27,Iz*One,"""Secret Story of the Swan""","9,492",
685,July 4,Seventeen,"""Left & Right""","8,540",
686,July 11,Blackpink,"""How You Like That""","10,464",
687,July 18,Blackpink,"""How You Like That""","10,048",
688,July 25,Blackpink,"""How You Like That""","8,023",
689,August 1,SSAK3,"""Beach Again""","8,399",
—,August 8,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
690,August 15,Kang Daniel,"""Who U Are""","7,384",
691,August 22,SSAK3,"""Beach Again""","7,530",
692,August 29,BTS,"""Dynamite""","8,882",
693,September 5,BTS,"""Dynamite""","9,657",
694,September 12,BTS,"""Dynamite""","9,755",
695,September 19,BTS,"""Dynamite""","8,629",
696,September 26,BTS,"""Dynamite""","10,602",
—,October 3,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
697,October 10,BTS,"""Dynamite""","10,319",
698,October 17,BTS,"""Dynamite""","10,127",
699,October 24,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
700,October 31,BTS,"""Dynamite""","9,864",
701,November 7,BTS,"""Dynamite""","9,740",
702,November 14,BTS,"""Dynamite""","10,130",
703,November 21,"No chart, winners were not announced","No chart, winners were not announced","No chart, winners were not announced",
704,November 28,BTS,"""Life Goes On""","10,656",
705,December 5,BTS,"""Life Goes On""","11,881",
706,December 12,BTS,"""Life Goes On""","10,981",
—,December 19,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
707,December 26,"No chart, winners were not announced","No chart, winners were not announced","No chart, winners were not announced",
