Date,Artist,Song,Points
April 20,Infinite,"""Man in Love""","7,587"
April 27,Psy,"""Gentleman""","6,847"
May 4,Cho Yong-pil,"""Bounce""","7,698"
May 11,Roy Kim,"""Spring Spring Spring""","8,333"
May 18,B1A4,"""What's Going On?""","8,479"
May 25,Shinhwa,"""This Love""","7,634"
June 1,Shinhwa,"""This Love""","8,540"
June 8,Beast,"""Will You Be Okay?""","7,348"
June 15,Exo,"""Wolf""","6,392"
June 22,Sistar,"""Give It To Me""","7,717"
June 29,Sistar,"""Give It To Me""","8,473"
July 6,Roy Kim,"""Love Love Love""","8,270"
July 13,Dynamic Duo,"""BAAAM""","7,885"
July 20,2NE1,"""Falling In Love""","7,691"
July 27,Infinite,"""Destiny""","9,770"
August 3,Beast,"""Shadow""","8,368"
August 10,Music Core Summer Special – No Chart,Music Core Summer Special – No Chart,Music Core Summer Special – No Chart
August 17,Music Core 2013 Korea Music Festival in Sokcho – No Chart,Music Core 2013 Korea Music Festival in Sokcho – No Chart,Music Core 2013 Korea Music Festival in Sokcho – No Chart
August 24,Exo,"""Growl""","8,666"
August 31,Exo,"""Growl""","8,074"
September 7,Exo,"""Growl""","6,925"
September 14,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart
September 21,Music Core K-POP Festival – No Chart,Music Core K-POP Festival – No Chart,Music Core K-POP Festival – No Chart
September 28,Soyou & Mad Clown,"""Stupid In Love""","6,364"
October 5,Busker Busker,"""Love, at first""","8,219"
October 12,Busker Busker,"""Love, at first""","7,493"
October 19,IU,"""The Red Shoes""","9,846"
October 26,Shinee,"""Everybody""","9,641"
November 2,K.Will,"""You Don't Know Love""","7,647"
November 9,Trouble Maker,"""Now""","8,450"
November 16,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart
November 23,Davichi,"""The Letter""","6,614"
November 30,2NE1,"""Missing You""","8,454"
December 7,Hyolyn,"""One Way Love""","7,295"
December 14,Exo,"""Miracles in December""","7,458"
December 21,Exo,"""Miracles in December""","9,032"
December 28,Music Core Year End Chart Special – No Chart,Music Core Year End Chart Special – No Chart,Music Core Year End Chart Special – No Chart
January 4,IU,"""Friday""","7,802"
January 11,Girl's Day,"""Something""","6,748"
January 18,TVXQ,"""Something""","7,753"
January 25,B1A4,"""Lonely""","7,311"
February 1,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart
February 8,B1A4,"""Lonely""","7,162"
February 15,B.A.P,"""1004 (Angel)""","8,575"
February 22,Soyou & Junggigo,"""Some""","7,158"
March 1,Soyou & Junggigo,"""Some""","7,259"
March 8,Music Core 400th Episode Special,Music Core 400th Episode Special,Music Core 400th Episode Special
March 8,TVXQ,"""Spellbound""","9,050"
March 15,Girls' Generation,"""Mr.Mr.""","8,303"
March 22,Girls' Generation,"""Mr.Mr.""","7,537"
March 29,No Chart,No Chart,No Chart
April 5,Park Hyo-shin,"""Wild Flower""","7,576"
April 12,Apink,"""Mr. Chu""","9,447"
April 19,AKMU,"""200%""","7,446"
April 26,AKMU,"""200%""","7,965"
May 3,AKMU,"""200%""","8,490"
May 10,AKMU,"""200%""","8,754"
May 17,Exo-K,"""Overdose""","9,257"
May 24,Exo-K,"""Overdose""","7,633"
May 31,Fly to the Sky,"""You You You""","6,784"
June 7,Gary & Jungin,"""Your Scent""","6,201"
June 14,Taeyang,"""Eyes, Nose, Lips""","7,518"
June 21,Beast,"""No More""","8,330"
June 28,Beast,"""Good Luck""","10,000"
July 5,Beast,"""Good Luck""","7,777"
July 12,Beast,"""Good Luck""","7,274"
July 19,f(x),"""Red Light""","9,074"
July 26,Girl's Day,"""Darling""","7,344"
August 2,Infinite,"""Back""","7,154"
August 9,Sistar,"""Touch My Body""","9,151"
August 16,Sistar,"""Touch My Body""","8,360"
August 23,Block B,"""H.E.R""","8,239"
August 30,Taemin,"""Danger""","7,368"
September 6,Sistar,"""I Swear""","6,532"
September 13,Super Junior,"""Mamacita""","6,993"
September 20,Super Junior,"""Mamacita""","6,035"
September 27,No Chart,No Chart,No Chart
October 4,No Chart,No Chart,No Chart
October 11,Girls' Generation-TTS,"""Holler""","8,220"
