Episode,Date,Artist,Song,Points,Ref.
600,January 3,Winner,"""Millions""",N/A,
601,January 10,Chungha,"""Gotta Go""","9,389",
602,January 17,Apink,"""%% (Eung Eung)""","7,829",
603,January 24,GFriend,"""Sunrise""","7,653",
604,January 31,Seventeen,"""Home""","9,676",
605,February 7,Seventeen,"""Home""",N/A,
606,February 14,Seventeen,"""Home""","6,669",
607,February 21,Itzy,"""Dalla Dalla""","8,527",
608,February 28,Monsta X,"""Alligator""","6,801",
609,March 7,Itzy,"""Dalla Dalla""","6,800",
610,March 14,TXT,"""Crown""","7,612",
611,March 21,Mamamoo,"""Gogobebe""","9,386",
612,March 28,Mamamoo,"""Gogobebe""","9,907",
613,April 4,Stray Kids,"""Miroh""","5,870",
614,April 11,Iz*One,"""Violeta""","10,775",
615,April 18,Iz*One,"""Violeta""","10,446",
616,April 25,BTS,"""Boy with Luv""","11,000",
617,May 2,Twice,"""Fancy""","11,000",
618,May 9,NU'EST,"""Bet Bet""","11,000",
619,May 16,Oh My Girl,"""The Fifth Season (SSFWL)""","8,117",
620,May 23,Winner,"""Ah Yeah""","9,245",
621,May 30,Got7,"""Eclipse""",N/A,
622,June 6,Lee Hi,"""No One""","6,663",
623,June 13,Cosmic Girls,"""Boogie Up""","6,615",
624,June 20,Ateez,"""Wave""","5,482",
625,June 27,Red Velvet,"""Zimzalabim""","9,881",
626,July 4,Chungha,"""Snapping""","9,025",
627,July 11,GFriend,"""Fever""","7,890",
628,July 18,Chungha,"""Snapping""","7,210",
629,July 25,Day6,"""Time of Our Life""",N/A,
—,August 1,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
630,August 8,Itzy,"""Icy""","8,087",
—,August 15,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
631,August 22,Itzy,"""Icy""","7,356",
632,August 29,Red Velvet,"""Umpah Umpah""","9,282",
633,September 5,X1,"""Flash""","8,629",
634,September 12,X1,"""Flash""",N/A,
635,September 19,X1,"""Flash""","10,945",
636,September 26,Seventeen,"""Fear""","10,800",
637,October 3,Twice,"""Feel Special""","8,815",
638,October 10,Twice,"""Feel Special""","9,222",
639,October 17,AB6IX,"""Blind For Love""",N/A,
640,October 24,Super Junior,"""Super Clap""","8,204",
641,October 31,NU'EST,"""Love Me""","6,959",
642,November 7,Monsta X,"""Follow""","6,427",
—,November 14,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
643,November 21,Mamamoo,"""Hip""",N/A,
644,November 28,Mamamoo,"""Hip""",N/A,
—,December 5,"MAMA Special Broadcast, winners were not announced","MAMA Special Broadcast, winners were not announced","MAMA Special Broadcast, winners were not announced",
—,December 12,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
645,December 19,Stray Kids,"""Levanter""",N/A,
646,December 26,Golden Child,"""Wannabe""",N/A,
"""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week."
