,Date,Artist,Song,Points,Ref.
412,20-Apr,Infinite,"""Man in Love""","7,587",
413,27-Apr,Psy,"""Gentleman""","6,847",
414,04-May,Cho Yong-pil,"""Bounce""","7,698",
415,11-May,Roy Kim,"""Spring Spring Spring""","8,333",
416,18-May,B1A4,"""What's Going On?""","8,479",
417,25-May,Shinhwa,"""This Love""","7,634",
418,01-Jun,Shinhwa,"""This Love""","8,540",
419,08-Jun,Beast,"""Will You Be Okay?""","7,348",
420,15-Jun,Exo,"""Wolf""","6,392",
421,22-Jun,Sistar,"""Give It To Me""","7,717",
422,29-Jun,Sistar,"""Give It To Me""","8,473",
423,06-Jul,Roy Kim,"""Love Love Love""","8,270",
424,13-Jul,Dynamic Duo,"""BAAAM""","7,885",
425,20-Jul,2NE1,"""Falling In Love""","7,691",
426,27-Jul,Infinite,"""Destiny""","9,770",
427,03-Aug,Beast,"""Shadow""","8,368",
428,10-Aug,Music Core Summer Special – No Chart,Music Core Summer Special – No Chart,Music Core Summer Special – No Chart,
429,17-Aug,Music Core 2013 Korea Music Festival in Sokcho – No Chart,Music Core 2013 Korea Music Festival in Sokcho – No Chart,Music Core 2013 Korea Music Festival in Sokcho – No Chart,
430,24-Aug,Exo,"""Growl""","8,666",
431,31-Aug,Exo,"""Growl""","8,074",
432,07-Sep,Exo,"""Growl""","6,925",
433,14-Sep,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,
434,21-Sep,Music Core K-POP Festival – No Chart,Music Core K-POP Festival – No Chart,Music Core K-POP Festival – No Chart,
435,28-Sep,Soyou & Mad Clown,"""Stupid In Love""","6,364",
436,05-Oct,Busker Busker,"""Love, at first""","8,219",
437,12-Oct,Busker Busker,"""Love, at first""","7,493",
438,19-Oct,IU,"""The Red Shoes""","9,846",
439,26-Oct,Shinee,"""Everybody""","9,641",
440,02-Nov,K.Will,"""You Don't Know Love""","7,647",
441,09-Nov,Trouble Maker,"""Now""","8,450",
442,16-Nov,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,
443,23-Nov,Davichi,"""The Letter""","6,614",
444,30-Nov,2NE1,"""Missing You""","8,454",
445,07-Dec,Hyolyn,"""One Way Love""","7,295",
446,14-Dec,Exo,"""Miracles in December""","7,458",
447,21-Dec,Exo,"""Miracles in December""","9,032",
448,28-Dec,Music Core Year End Chart Special – No Chart,Music Core Year End Chart Special – No Chart,Music Core Year End Chart Special – No Chart,
449,04-Jan,IU,"""Friday""","7,802",
450,11-Jan,Girl's Day,"""Something""","6,748",
451,18-Jan,TVXQ,"""Something""","7,753",
452,25-Jan,B1A4,"""Lonely""","7,311",
453,01-Feb,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,Music Core Pre-record Show – No Chart,
454,08-Feb,B1A4,"""Lonely""","7,162",
455,15-Feb,B.A.P,"""1004 (Angel)""","8,575",
456,22-Feb,Soyou & Junggigo,"""Some""","7,158",
457,01-Mar,Soyou & Junggigo,"""Some""","7,259",
458,08-Mar,Music Core 400th Episode Special,Music Core 400th Episode Special,Music Core 400th Episode Special,
459,08-Mar,TVXQ,"""Spellbound""","9,050",
460,15-Mar,Girls' Generation,"""Mr.Mr.""","8,303",
461,22-Mar,Girls' Generation,"""Mr.Mr.""","7,537",
462,29-Mar,No Chart,No Chart,No Chart,
463,05-Apr,Park Hyo-shin,"""Wild Flower""","7,576",
464,12-Apr,Apink,"""Mr. Chu""","9,447",
465,19-Apr,AKMU,"""200%""","7,446",
466,26-Apr,AKMU,"""200%""","7,965",
467,03-May,AKMU,"""200%""","8,490",
468,10-May,AKMU,"""200%""","8,754",
469,17-May,Exo-K,"""Overdose""","9,257",
470,24-May,Exo-K,"""Overdose""","7,633",
471,31-May,Fly to the Sky,"""You You You""","6,784",
472,07-Jun,Gary & Jungin,"""Your Scent""","6,201",
473,14-Jun,Taeyang,"""Eyes, Nose, Lips""","7,518",
474,21-Jun,Beast,"""No More""","8,330",
475,28-Jun,Beast,"""Good Luck""","10,000",
476,05-Jul,Beast,"""Good Luck""","7,777",
477,12-Jul,Beast,"""Good Luck""","7,274",
478,19-Jul,f(x),"""Red Light""","9,074",
479,26-Jul,Girl's Day,"""Darling""","7,344",
480,02-Aug,Infinite,"""Back""","7,154",
481,09-Aug,Sistar,"""Touch My Body""","9,151",
482,16-Aug,Sistar,"""Touch My Body""","8,360",
483,23-Aug,Block B,"""H.E.R""","8,239",
484,30-Aug,Taemin,"""Danger""","7,368",
485,06-Sep,Sistar,"""I Swear""","6,532",
486,13-Sep,Super Junior,"""Mamacita""","6,993",
487,20-Sep,Super Junior,"""Mamacita""","6,035",
488,27-Sep,No Chart,No Chart,No Chart,
489,04-Oct,No Chart,No Chart,No Chart,
490,11-Oct,Girls' Generation-TTS,"""Holler""","8,220",
491,18-Oct,Roy Kim,"""Home""","8,527",
492,25-Oct,No Chart,No Chart,No Chart,
493,01-Nov,Beast,"""12:30""","9,197",
494,08-Nov,Beast,"""12:30""","8,555",
495,15-Nov,MC Mong,"""Miss Me Or Diss Me""","7,353",
496,22-Nov,Kyuhyun,"""At Gwanghwamun""","7,455",
497,29-Nov,Toy,"""Three of Us""","6,832",
498,06-Dec,Apink,"""Luv""","9,237",
499,13-Dec,Apink,"""Luv""","7,822",
500,20-Dec,Apink,"""Luv""","7,185",
501,27-Dec,No Chart,No Chart,No Chart,
502,03-Jan,Apink,"""Luv""","8,207",
503,10-Jan,Apink,"""Luv""","7,745",
504,17-Jan,Jonghyun,"""Déjà-Boo""","8,202",
505,24-Jan,Jonghyun,"""Déjà-Boo""","7,082",
506,31-Jan,Davichi,"""Cry Again""","5,716",
507,07-Feb,Infinite H,"""Pretty""","9,049",
508,14-Feb,Zion.T & Crush,"""Just""","6,112",
509,21-Feb,4Minute,"""Crazy""","7,278",
510,28-Feb,Niel,"""Love Killer""","6,462",
511,07-Mar,VIXX,"""Love Equation""","9,094",
512,14-Mar,Shinhwa,"""Sniper""","7,630",
513,21-Mar,Shinhwa,"""Sniper""","8,186",
514,28-Mar,No Show,No Show,No Show,
515,04-Apr,Red Velvet,"""Ice Cream Cake""","7,199",
516,11-Apr,Exo,"""Call Me Baby""","8,833",
