Episode,Date,Artist,Song,Ref.
635,January 6,IU,"""You and I""",
636,January 13,IU,"""You and I""",
637,January 20,T-ara,"""Lovey-Dovey""",
638,January 27,T-ara,"""Lovey-Dovey""",
639,February 3,Teen Top,"""Going Crazy""",
640,February 10,T-ara,"""Lovey-Dovey""",
641,February 17,T-ara,"""Lovey-Dovey""",
642,February 24,Jay Park,"""Know Your Name""",
643,March 2,K.Will,"""I Need You""",
644,March 9,Big Bang,"""Blue""",
645,March 16,Big Bang,"""Blue""",
646,March 23,2AM,"""I Wonder If You Hurt Like Me""",
647,March 30,2AM,"""I Wonder If You Hurt Like Me""",
—,April 6,Shinee,"""Sherlock (Clue + Note)""",
648,April 13,Shinee,"""Sherlock (Clue + Note)""",
649,April 20,CNBLUE,"""Hey You""",
650,April 27,Sistar,"""Alone""",
651,May 4,Sistar,"""Alone""",
652,May 11,Girls' Generation-TTS,"""Twinkle""",
653,May 18,Girls' Generation-TTS,"""Twinkle""",
654,May 25,Girls' Generation-TTS,"""Twinkle""",
655,June 1,Infinite,"""The Chaser""",
656,June 8,G.NA,"""2HOT""",
657,June 15,Wonder Girls,"""Like This""",
658,June 22,f(x),"""Electric Shock""",
659,June 29,f(x),"""Electric Shock""",
—,July 6,Jo Kwon,"""I'm Da One (feat. Zion.T)""",
660,July 13,Sistar,"""Loving U""",
661,July 20,Super Junior,"""Sexy, Free & Single""",
662,July 27,Super Junior,"""Sexy, Free & Single""",
—,August 3,Sistar,"""Loving U""",[citation needed]
663,August 10,Beast,"""Beautiful Night""",
664,August 17,Psy,"""Gangnam Style""",
665,August 24,Psy,"""Gangnam Style""",
666,August 31,Psy,"""Gangnam Style""",[citation needed]
667,September 7,Kara,"""Pandora""",
668,September 14,Psy,"""Gangnam Style""",
669,September 21,Psy,"""Gangnam Style""",
670,September 28,Psy,"""Gangnam Style""",
671,October 5,Psy,"""Gangnam Style""",
672,October 12,Psy,"""Gangnam Style""",
673,October 19,Psy,"""Gangnam Style""",
674,October 26,Psy,"""Gangnam Style""",
675,November 2,Psy,"""Gangnam Style""",
676,November 9,Psy,"""Gangnam Style""",
677,November 16,Psy,"""Gangnam Style""",
678,November 23,Ailee,"""I Will Show You""",
679,November 30,Psy,"""Gangnam Style""",
680,December 7,Lee Seung-gi,"""Return""",
—,December 14,Yang Yo-seob,"""Caffeine""",[citation needed]
681,December 21,Psy,"""Gangnam Style""",
681,December 21,Yang Yo-seob,"""Caffeine""",
—,December 28,Psy,"""Gangnam Style""",[citation needed]
682,January 4,Psy,"""Gangnam Style""",—,
683,January 11,Girls' Generation,"""I Got a Boy""",—,
684,January 18,Girls' Generation,"""I Got a Boy""",—,
685,January 25,Girls' Generation,"""I Got a Boy""",—,
686,February 1,CNBLUE,"""I'm Sorry""",—,
687,February 8,CNBLUE,"""I'm Sorry""",—,
688,February 15,Sistar19,"""Gone Not Around Any Longer""",—,
689,February 22,Sistar19,"""Gone Not Around Any Longer""",—,
690,March 1,Sistar19,"""Gone Not Around Any Longer""",—,
691,March 8,Shinee,"""Dream Girl""",—,
692,March 15,Shinee,"""Dream Girl""",—,
693,March 22,2AM,"""One Spring Day""","13,869",
694,March 29,G.NA,"""Oops!""","7,020",
695,April 5,Infinite,"""Man In Love""","16,387",
696,April 12,Infinite,"""Man In Love""","10,846",
697,April 19,K.Will,"""Love Blossom""","13,217",
698,April 26,Psy,"""Gentleman""","15,768",
699,May 3,Cho Yong-pil,"""Bounce""","16,309",
—,May 10,Cho Yong-pil,"""Bounce""","12,778",
700,May 17,"700th Episode Special, no chart and winner","700th Episode Special, no chart and winner","700th Episode Special, no chart and winner",
701,May 24,2PM,"""Comeback When You Hear This Song""","13,037",
702,May 31,Shinhwa,"""This Love""","9,482",
703,June 7,Lee Hyori,"""Bad Girls""","10,085",
704,June 14,Exo,"""Wolf""","14,419",
—,June 21,Sistar,"""Give It To Me""","14,040",
705,June 28,Sistar,"""Give It To Me""","16,347",
706,July 5,Sistar,"""Give It To Me""","15,542",
707,July 12,Dynamic Duo,"""BAAAM""","14,499",
708,July 19,Apink,"""No No No""","10,342",
709,July 26,Ailee,"""U&I""","16,069",
710,August 2,Ailee,"""U&I""","13,835",
711,August 9,f(x),"""Rum Pum Pum Pum""","16,888",
712,August 16,Exo,"""Growl""","12,225",
713,August 23,Exo,"""Growl""","8,129",
714,August 30,Crayon Pop,"""Bar Bar Bar""","5,770",
715,September 6,Teen Top,"""Rocking""","6,824",
—,September 13,Kara,"""Damaged Lady""","6,350",
—,September 20,G-Dragon,"""Who You?""","6,441",
716,September 27,G-Dragon,"""Crooked""","6,493",
717,October 4,Busker Busker,"""Love, at first""","8,077",
718,October 11,Busker Busker,"""Love, at first""","7,098",
719,October 18,IU,"""The Red Shoes""","7,565",
720,October 25,Shinee,"""Everybody""","7,649",
—,November 1,K.Will,"""You Don't Know Love""","6,324",
721,November 8,Trouble Maker,"""Now""","6,273",
722,November 15,Trouble Maker,"""Now""","4,768",
723,November 22,Miss A,"""Hush""","5,722",
