Episode,Date,Artist,Song,Points,Ref.
—,January 6,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
—,January 13,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
381,January 20,(G)I-dle,"""Hwaa""",—,
—,January 27,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
382,February 3,Golden Child,"""Burn It""",—,
383,February 10,IU,"""Celebrity""",—,
—,February 17,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
384,February 24,Kang Daniel,"""Paranoia""",—,
385,March 3,Shinee,"""Don't Call Me""",—,
386,March 10,Shinee,"""Don't Call Me""",—,
387,March 17,Brave Girls,"""Rollin'""",—,
388,March 24,Rosé,"""On the Ground""",—,
—,March 31,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
389,April 7,IU,"""Lilac""",—,
390,April 14,Astro,"""One""",—,
391,April 21,Kang Daniel,"""Antidote""",—,
—,April 28,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
392,May 5,Enhypen,"""Drunk-Dazed""",—,
393,May 12,Itzy,"""In the Morning""",—,
394,May 19,NCT Dream,"""Hot Sauce""",—,
395,May 26,Oh My Girl,"""Dun Dun Dance""",—,
396,June 2,BTS,"""Butter""",—,
397,June 9,TXT,"""0x1=Lovesong (I Know I Love You)""",—,
398,June 16,BTS,"""Butter""",—,
399,June 23,BTS,"""Butter""",—,
400,June 30,Seventeen,"""Ready to Love""",—,
—,July 7,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
401,July 14,NCT Dream,"""Hello Future""","6,475",
402,July 21,BTS,"""Permission to Dance""","8,000",
403,July 28,BTS,"""Permission to Dance""","8,000",
—,August 4,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
404,August 11,Astro,"""After Midnight""","5,648",
405,August 18,The Boyz,"""Thrill Ride""","6,888",
406,August 25,TXT,"""Loser=Lover""","6,218",
407,September 1,Stray Kids,"""Thunderous""","7,159",
408,September 8,Stray Kids,"""Thunderous""","5,393",
409,September 15,STAYC,"""Stereotype""","8,161",
410,September 22,Ateez,"""Deja Vu""","5,413",
411,September 29,NCT 127,"""Sticker""","7,160",
—,October 6,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
412,October 13,Aespa,"""Savage""","6,370",
413,October 20,Enhypen,"""Tamed-Dashed""","6,215",
—,October 27,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
414,November 3,Seventeen,"""Rock with you""","5,310",
415,November 10,The Boyz,"""Maverick""","6,377",
416,November 17,Oneus,"""Luna""","5,638",
417,November 24,Monsta X,"""Rush Hour""","5,920",
418,December 1,Monsta X,"""Rush Hour""","4,836",
419,December 8,Ive,"""Eleven""","8,075",
420,December 15,Ive,"""Eleven""","6,243",
—,December 22,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
—,December 29,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
—,January 5,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
—,January 12,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
421,January 19,Enhypen,"""Blessed-Cursed""","7,178",
422,January 26,Fromis 9,"""DM""","7,642",
—,February 2,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
—,February 9,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
423,February 16,Viviz,"""Bop Bop!""","7,541",
424,February 23,Treasure,"""Jikjin""","5,486",
425,March 2,BtoB,"""The Song""","5,334",
426,March 9,STAYC,"""Run2U""","5,022",
—,March 16,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
427,March 23,(G)I-dle,"""Tomboy""","6,843",
428,March 30,Stray Kids,"""Maniac""","6,020",
429,April 6,NCT Dream,"""Glitch Mode""","5,598",
430,April 13,Ive,"""Love Dive""","6,437",
431,April 20,Dreamcatcher,"""Maison""","6,545",
—,April 27,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
432,May 4,Monsta X,"""Love""","4,383",
433,May 11,Psy feat. Suga,"""That That""","4,514",
434,May 18,Psy feat. Suga,"""That That""","4,506",
435,May 25,Astro,"""Candy Sugar Pop""","7,237",
436,June 1,Le Sserafim,"""Fearless""","5,127",
437,June 8,NCT Dream,"""Beatbox""","9,810",
438,June 15,BTS,"""Yet to Come""","8,000",
—,June 22,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
439,June 29,Loona,"""Flip That""","5,439",
440,July 6,Fromis 9,"""Stay This Way""","8,690",
441,July 13,Enhypen,"""Future Perfect""","6,263",
442,July 20,Aespa,"""Girls""","6,777",
443,July 27,Seventeen,"""_World""","6,442",
444,August 3,Ateez,"""Guerrilla""","6,189",
445,August 10,Ateez,"""Guerrilla""","5,894",
—,August 17,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
446,August 24,Blackpink,"""Pink Venom""","4,435",
447,August 31,Ive,"""After Like""","8,632",
448,September 7,Ive,"""After Like""","5,458",
449,September 14,Oneus,"""Same Scent""","7,450",
450,September 21,Blackpink,"""Shut Down""","5,227",
451,September 28,Blackpink,"""Shut Down""","7,022",
452,October 5,Blackpink,"""Shut Down""","6,764",
453,October 12,Stray Kids,"""Case 143""","6,733",
454,October 19,Stray Kids,"""Case 143""","6,308",
455,October 26,(G)I-dle,"""Nxde""","8,771",
—,November 2,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
456,November 9,(G)I-dle,"""Nxde""","5,435",
457,November 16,Highlight,"""Alone""","5,958",
458,November 23,Verivery,"""Tap Tap""","4,858",
