Episode,Date,Artist,Song,Points,Ref.


—,January 6,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
—,January 13,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
381,January 20,(G)I-dle,"""Hwaa""",—,
—,January 27,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
382,February 3,Golden Child,"""Burn It""",—,
383,February 10,IU,"""Celebrity""",—,
—,February 17,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
384,February 24,Kang Daniel,"""Paranoia""",—,
385,March 3,Shinee,"""Don't Call Me""",—,
386,March 10,Shinee,"""Don't Call Me""",—,
387,March 17,Brave Girls,"""Rollin'""",—,
388,March 24,Rosé,"""On the Ground""",—,
—,March 31,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
389,April 7,IU,"""Lilac""",—,
390,April 14,Astro,"""One""",—,
391,April 21,Kang Daniel,"""Antidote""",—,
—,April 28,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
392,May 5,Enhypen,"""Drunk-Dazed""",—,
393,May 12,Itzy,"""In the Morning""",—,
394,May 19,NCT Dream,"""Hot Sauce""",—,
395,May 26,Oh My Girl,"""Dun Dun Dance""",—,
396,June 2,BTS,"""Butter""",—,
397,June 9,TXT,"""0x1=Lovesong (I Know I Love You)""",—,
398,June 16,BTS,"""Butter""",—,
399,June 23,BTS,"""Butter""",—,
400,June 30,Seventeen,"""Ready to Love""",—,
—,July 7,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
401,July 14,NCT Dream,"""Hello Future""","6,475",
402,July 21,BTS,"""Permission to Dance""","8,000",
403,July 28,BTS,"""Permission to Dance""","8,000",
—,August 4,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
404,August 11,Astro,"""After Midnight""","5,648",
405,August 18,The Boyz,"""Thrill Ride""","6,888",
406,August 25,TXT,"""Loser=Lover""","6,218",
407,September 1,Stray Kids,"""Thunderous""","7,159",
408,September 8,Stray Kids,"""Thunderous""","5,393",
409,September 15,STAYC,"""Stereotype""","8,161",
410,September 22,Ateez,"""Deja Vu""","5,413",
411,September 29,NCT 127,"""Sticker""","7,160",
—,October 6,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
412,October 13,Aespa,"""Savage""","6,370",
413,October 20,Enhypen,"""Tamed-Dashed""","6,215",
—,October 27,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
414,November 3,Seventeen,"""Rock with you""","5,310",
415,November 10,The Boyz,"""Maverick""","6,377",
416,November 17,Oneus,"""Luna""","5,638",
417,November 24,Monsta X,"""Rush Hour""","5,920",
418,December 1,Monsta X,"""Rush Hour""","4,836",
419,December 8,Ive,"""Eleven""","8,075",
420,December 15,Ive,"""Eleven""","6,243",
—,December 22,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
—,December 29,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
