Episode,Date,Artist,Song,Points,Ref.
Episode,Date,Artist,Song,,
Ñ,01-Jan,No Chart and Winner,,,
90,08-Jan,Girl's Day,"""Something""",,
91,15-Jan,Ailee,"""Singing Got Better""",,
92,22-Jan,B1A4,"""Lonely""",,
93,29-Jan,,,,
94,05-Feb,,,,
95,12-Feb,B.A.P,"""1004 (Angel)""",,
96,19-Feb,SoyouÊ& JunggiGo,"""Some""",,
97,26-Feb,"Special Episode, winner not announced",,,
98,05-Mar,CNBLUE,"""Can't Stop""",,
99,12-Mar,Girls' Generation,"""Mr.Mr.""",,
100,19-Mar,,,,
101,26-Mar,"Special Episode, winner not announced",,,
Ñ,02-Apr,No Chart and Winner,,,
102,09-Apr,Apink,"""Mr. Chu""",,
103,16-Apr,Mad ClownÊ&ÊHyolyn,"""Without You""",,
Ñ,23-Apr,"No Episode, winner not announced",,,
Ñ,30-Apr,,,,
Ñ,07-May,,,,
104,14-May,Exo-K,"""Overdose""",,
105,21-May,Wheesung,"""Night and Day""",,
106,28-May,Infinite,"""Last Romeo""",,
107,04-Jun,,,,
108,11-Jun,VIXX,"""Eternity""",,
Ñ,18-Jun,No Chart and Winner,,,
109,25-Jun,"Special Episode, winner not announced",,,
110,02-Jul,Beast,"""Good Luck""",,
111,09-Jul,K.Will,"""Day 1""",,
112,16-Jul,f(x),"""Red Light""",,
113,23-Jul,B1A4,"""Solo Day""",,
114,30-Jul,Girl's Day,"""Darling""",,
115,06-Aug,Hyuna,"""Red""",,
116,13-Aug,,,,
117,20-Aug,Block B,"""H.E.R""",,
118,27-Aug,Kara,"""Mamma Mia""",,
119,03-Sep,Sistar,"""I Swear""",,
120,10-Sep,Super Junior,"""Mamacita""",,
121,17-Sep,,,,
122,24-Sep,Teen Top,"""Missing""",,
Ñ,01-Oct,No Chart and Winner,,,
Ñ,08-Oct,,,,
123,15-Oct,Ailee,"""Don't Touch Me""",,
124,22-Oct,VIXX,"""Error""",,
125,29-Oct,Beast,"""12:30""",,
126,05-Nov,"Special Episode, winner not announced",,,
Ñ,12-Nov,No Chart and Winner,,,
127,19-Nov,AOA,"""Like a Cat""",,
128,26-Nov,Kyuhyun,"""At Gwanghwamun""",,
Ñ,03-Dec,No Chart and Winner,,,
Ñ,10-Dec,,,,
Ñ,17-Dec,,,,
Ñ,24-Dec,,,,
Ñ,31-Dec,,,,
Episode,Date,Artist,Song,,
