Episode,Date,Artist,Song,Points
57,January 26,Teen Top,"""Warning Sign""","8,473"
58,February 2,GFriend,"""Rough""","8,044"
—,February 9,Lunar New Year,Lunar New Year,Lunar New Year
59,February 16,GFriend,"""Rough""","7,653"
60,February 23,SS301,"""Pain""","7,062"
61,March 1,Taemin,"""Press Your Number""","8,397"
62,March 8,B.A.P,"""Feel So Good""","7,876"
63,March 15,Mamamoo,"""You're The Best""","7,642"
64,March 22,Red Velvet,"""One of These Nights""","7,823"
65,March 29,Got7,"""Fly""","9,025"
66,April 5,Got7,"""Fly""","9,108"
67,April 12,CNBLUE,"""You're So Fine""","7,690"
68,April 19,CNBLUE,"""You're So Fine""","8,385"
69,April 26,VIXX,"""Dynamite""","8,841"
70,May 3,VIXX,"""Dynamite""","8,208"
71,May 10,VIXX,"""Dynamite""","8,220"
72,May 17,Tiffany,"""I Just Wanna Dance""","7,898"
73,May 24,AOA,"""Good Luck""","8,192"
74,May 31,Jonghyun,"""She Is""","8,644"
—,June 7,No broadcast or winner,No broadcast or winner,No broadcast or winner
75,June 14,EXID,"""L.I.E.""","8,924"
76,June 21,Exo,"""Monster""","9,440"
77,June 28,Sistar,"""I Like That""","7,044"
78,July 5,EXID,"""L.I.E.""","8,410"
79,July 12,Wonder Girls,"""Why So Lonely""","7,673"
80,July 19,GFriend,"""Navillera""","8,404"
81,July 26,F.T. Island,"""Take Me Now""","7,970"
82,August 2,GFriend,"""Navillera""","8,039"
83,August 9,GFriend,"""Navillera""","8,034"
84,August 16,I.O.I,"""Whatta Man""","9,012"
85,August 23,VIXX,"""Fantasy""","9,144"
86,August 30,I.O.I,"""Whatta Man""","7,241"
87,September 6,VIXX,"""Fantasy""","9,159"
88,September 13,Red Velvet,"""Russian Roulette""","8,352"
89,September 20,Red Velvet,"""Russian Roulette""","8,449"
—,September 27,No broadcast or winner,No broadcast or winner,No broadcast or winner
—,October 4,No broadcast or winner,No broadcast or winner,No broadcast or winner
90,October 11,Shinee,"""1 of 1""","8,282"
91,October 18,Got7,"""Hard Carry""","8,714"
92,October 25,BTS,"""Blood Sweat & Tears""","8,936"
93,November 1,Twice,"""TT""","8,680"
94,November 8,VIXX,"""The Closer""","8,861"
95,November 15,Exo-CBX,"""Hey Mama!""","7,936"
96,November 22,B.A.P,"""Skydive""","8,072"
97,November 29,Mamamoo,"""Décalcomanie""","7,523"
98,December 6,B1A4,"""A Lie""","7,732"
—,December 13,Seventeen,"""Boom Boom""","8,005"
—,December 20,No broadcast or winner,No broadcast or winner,No broadcast or winner
—,December 27,No broadcast or winner,No broadcast or winner,No broadcast or winner
